Date,Temperature,Charge_Start,Charge_End,Daily_Mileage,Daily_Cycles,Total_Cycles,SOH
2021-09-03,4.904867312231151,20,80,107.09541295986378,0,0,99.99189714601937
2021-09-04,21.927994126862295,20,80,95.64735377754837,1,1,99.98430214637527
2021-09-05,21.25659825050509,20,80,62.245231621302494,0,1,99.97668491155106
2021-09-06,3.2136485511617767,20,100,117.05155864038271,1,2,99.9685229873679
2021-09-07,49.37890572832583,20,80,80.92876842266213,1,3,99.96028012740335
2021-09-08,12.996718434709459,20,100,146.31709954482778,1,4,99.95240611335197
2021-09-09,18.622776507253143,20,80,51.669485045634204,0,4,99.94469907180286
2021-09-10,24.44400860795602,20,80,135.73619784408805,1,5,99.93716421096326
2021-09-11,4.689314655410221,20,80,107.14248288496951,0,5,99.92903305300243
2021-09-12,8.35154116684185,20,80,85.83641844392983,1,6,99.92100906304985
2021-09-13,6.20023052193763,20,80,84.46841995300613,1,7,99.91291731657343
2021-09-14,44.64695537619784,20,80,139.15999705683396,0,7,99.90479784922096
2021-09-15,14.806565434903815,20,80,74.48371472722074,1,8,99.89696011809714
2021-09-16,16.657139424799837,20,80,141.25508614433696,0,8,99.88917600621052
2021-09-17,1.4827691534088112,20,80,51.09366853835809,1,9,99.88093160277839
2021-09-18,22.122056657376092,20,80,78.64351113419185,1,10,99.87330647023033
2021-09-19,11.905075871566249,20,100,48.31447241118119,0,10,99.86537109627542
2021-09-20,20.072889006851245,20,80,50.39401353969461,1,11,99.85767921121652
2021-09-21,13.289431011324213,20,80,84.03850956085938,1,12,99.84977970727988
2021-09-22,14.249024340929973,20,80,128.87245211568194,0,12,99.84190702209558
2021-09-23,16.098856815916697,20,80,140.00304406638054,1,13,99.83408727623663
2021-09-24,8.400665623147669,20,80,124.33148553905905,0,13,99.82603282323525
2021-09-25,23.11021914364787,20,80,57.792230454995035,1,14,99.81841993947944
2021-09-26,5.714826399315987,20,80,147.9771715590792,1,15,99.81027828411534
2021-09-27,13.917453653935198,20,80,59.987646021603865,0,15,99.80238248054393
2021-09-28,40.284334257026515,20,80,112.56712649896001,1,16,99.79435661917177
2021-09-29,13.794628082585131,20,80,81.90315321938753,0,16,99.78645201161545
2021-09-30,-11.842190772429953,20,80,110.02725824989197,1,17,99.7777683533361
2021-10-01,12.29484388132341,20,80,143.77553982731047,1,18,99.76981244557648
2021-10-02,5.2164400436686655,20,80,92.71407256665523,0,18,99.76163995014275
2021-10-03,7.106978682646567,20,80,81.35809660747657,1,19,99.7535217082815
2021-10-04,4.306574144968484,20,80,110.33080922092806,0,19,99.74531637373363
2021-10-05,8.86652212113575,20,80,57.62352886871706,1,20,99.73724626464474
2021-10-06,24.53937706342227,20,80,73.16573037898493,1,21,99.72964859112251
2021-10-07,20.628839672318342,20,80,82.919319113272,0,21,99.7219301971086
2021-10-08,16.755799692558877,20,80,97.5338064748776,1,22,99.71409137411794
2021-10-09,7.957122804460673,20,80,45.85262803848839,0,22,99.70598327371157
2021-10-10,16.83707689324771,20,80,103.17929359197122,1,23,99.69814188238364
2021-10-11,9.500331735267892,20,80,89.48931665730416,1,24,99.69007465415987
2021-10-12,3.869376907128641,20,80,117.58687771316517,0,24,99.68183409511323
2021-10-13,7.135386069012833,20,100,48.00594457864425,1,25,99.673689781608
2021-10-14,4.078389110755517,20,100,111.05135331488592,1,26,99.6654494671522
2021-10-15,9.885943584421172,20,80,80.63418661853058,0,26,99.65738360978943
2021-10-16,5.902321958849077,20,80,51.953205964370866,1,27,99.64919351999603
2021-10-17,9.304915092218472,20,80,68.16443283861534,1,28,99.64110399302848
2021-10-18,6.890612409158364,20,80,61.793935702511725,0,28,99.63293874880762
2021-10-19,22.562757958982996,20,80,83.0901612186218,1,29,99.6252479506987
2021-10-20,16.910032697658092,20,80,144.03742721678753,0,29,99.61738280821308
2021-10-21,22.262791941114372,20,80,117.24194649413545,1,30,99.60967793647072
2021-10-22,4.123264798863491,20,100,98.53471149500773,1,31,99.60141701186843
2021-10-23,4.11405028072657,20,80,83.81535853641611,0,31,99.59315357288922
2021-10-24,18.26129008707745,20,80,86.98337486037151,1,32,99.58531880105407
2021-10-25,9.085261026927274,20,80,95.95596029592443,1,33,99.57720100704576
2021-10-26,1.7392285675036283,20,80,66.09112754919651,0,33,99.5688567013807
2021-10-27,11.686409483884905,20,80,135.16338939025238,1,34,99.56081317037818
2021-10-28,2.2888243008027054,20,80,122.96354926984088,0,34,99.55248031901945
2021-10-29,15.443622801753143,20,80,138.4569756087006,1,35,99.54454648910439
2021-10-30,12.516914927485146,20,80,79.304726360088,1,36,99.536520234154
2021-10-31,15.28320052893324,20,80,140.5511100694045,0,36,99.5285764248385
2021-11-01,0.7680801971030882,20,80,86.3185138005923,1,37,99.52018555176355
2021-11-02,18.729984052447687,20,80,147.47273895275464,0,37,99.51234215797444
2021-11-03,21.466945600086678,20,80,103.76206045087682,1,38,99.50457966670892
2021-11-04,8.035491168721038,20,80,122.36310268526182,1,39,99.49640292384386
2021-11-05,4.816689042014288,20,80,58.30325258612393,0,39,99.4881253643064
2021-11-06,13.989209994648705,20,80,57.62624997533321,1,40,99.4801258712896
2021-11-07,15.019234930636891,20,80,95.0412494590471,0,40,99.47215580123698
2021-11-08,6.480055347214483,20,80,46.65587404912152,1,41,99.46392091485234
2021-11-09,21.937832773244832,20,80,79.01944225637115,1,42,99.45615722117864
2021-11-10,12.624421162261514,20,80,45.65473964259251,0,42,99.4481056358016
2021-11-11,2.054946475833541,20,80,113.11847157743512,1,43,99.43972661517583
2021-11-12,6.802117722399567,20,100,148.74895414173812,1,44,99.43149029201136
2021-11-13,22.362424898601436,20,80,139.5914022404284,0,44,99.42372973830955
2021-11-14,4.175641958208293,20,80,140.77545740402067,1,45,99.41540745640978
2021-11-15,13.404062644952461,20,80,144.95939137865312,0,45,99.40736659896615
2021-11-16,2.2621911221296367,20,80,83.87879892878227,1,46,99.39898017944816
2021-11-17,7.448054017173019,20,80,114.8951837168645,1,47,99.3907501917949
2021-11-18,11.367026999132671,20,80,130.7529955685976,0,47,99.38263857603529
2021-11-19,4.482485830940449,20,80,139.17656614237055,1,48,99.37431207007286
2021-11-20,2.4527796348786075,20,80,48.34385825520306,0,48,99.36592083906052
2021-11-21,17.059830492277424,20,80,89.6348561768944,1,49,99.35797641165779
2021-11-22,22.05426318669873,20,80,95.08177417936044,1,50,99.35018294560597
2021-11-23,19.36095692727995,20,80,102.12649336604446,0,50,99.34230438492608
2021-11-24,6.3539558767069435,20,80,148.20079571543337,1,51,99.33402191727768
2021-11-25,16.544784772015618,20,80,141.0463540183709,0,51,99.32605150193766
2021-11-26,1.9435709770361576,20,80,72.24636104404706,1,52,99.31762771080305
2021-11-27,47.56750866912323,20,80,146.15550331025275,1,53,99.30921591418664
2021-11-28,21.921493380251587,20,80,117.8353840325076,0,53,99.30140348302807
2021-11-29,15.070192144204734,20,80,142.5300139377611,1,54,99.29337660886236
2021-11-30,16.3375340158127,20,80,63.57982042918764,0,54,99.28538673391887
2021-12-01,4.110460542392429,20,80,107.00189107093769,1,55,99.27701610354107
2021-12-02,2.5665276048986714,20,80,75.91888489149795,1,56,99.26859467586927
2021-12-03,-4.762225673307755,20,80,108.91499971881238,0,56,99.25994439044761
2021-12-04,-4.177489624286313,20,80,130.003175842447,1,57,99.25130901904059
2021-12-05,8.775675416894181,20,80,119.09735495493388,0,57,99.24307210751044
2021-12-06,7.16300135867392,20,80,103.9477819714435,1,58,99.23478226211121
2021-12-07,-0.46622199209542536,20,80,120.49163826388822,1,59,99.22625315883504
2021-12-08,-2.9612777987510692,20,80,90.08115962929332,0,59,99.21764450447871
2021-12-09,3.0070504192943623,20,80,122.78097561367898,1,60,99.20921760699183
2021-12-10,3.528099388186016,20,80,147.89836596499936,0,60,99.20080460800338
2021-12-11,0.12977585247705203,20,80,92.51943243484894,1,61,99.19228317416778
2021-12-12,-1.7649110378473187,20,80,51.43500684945379,1,62,99.18369986019047
2021-12-13,7.263511190979466,20,80,105.24986131303557,0,62,99.17539433057797
2021-12-14,6.695675945083943,20,80,121.8536869759239,1,63,99.1670681396672
2021-12-15,5.546548155105448,20,80,109.32637315874868,0,63,99.15870405965148
2021-12-16,-3.6286301038613074,20,80,108.24465635151974,1,64,99.15005200953566
2021-12-17,2.857524757043411,20,80,64.96161455282653,1,65,99.14159827820413
2021-12-18,5.901705078987746,20,80,142.7451705660278,0,65,99.13323688400006
2021-12-19,5.867456634607331,20,80,142.60303807890506,1,66,99.12487136813873
2021-12-20,8.381414228382406,20,80,59.629477106090235,0,66,99.11658178841718
2021-12-21,9.394370184164957,20,80,118.77534343558428,1,67,99.10832068496556
2021-12-22,-2.087953482456457,20,80,99.18859403315058,1,68,99.09969929902127
2021-12-23,-4.597121382129991,20,80,78.91380556839252,0,68,99.09099752849542
2021-12-24,2.882651196540495,20,80,129.76450166301146,1,69,99.08252545424406
2021-12-25,-2.6985628945192848,20,80,84.7420181533177,0,69,99.07387731682996
2021-12-26,5.730865089382535,20,80,58.566173886386395,1,70,99.06548862866309
2021-12-27,-2.299557479257175,20,80,128.00034578630408,1,71,99.05684661112585
2021-12-28,4.542397126780504,20,80,75.1682357560242,0,71,99.04841558381011
2021-12-29,0.79321859281184,20,80,103.69687645957822,1,72,99.0398645638794
2021-12-30,1.4587559497065605,20,80,57.742957578503095,0,72,99.03133203397161
2021-12-31,2.5109503394100834,20,100,69.28352290400441,1,73,99.02282922512117
2022-01-01,42.35472510495224,20,80,134.34158193690493,1,74,99.01448358696419
2022-01-02,-19.378056858027332,20,80,91.78628994056706,0,74,99.00529196184222
2022-01-03,-4.172050207528178,20,80,138.02634549697274,1,75,98.99657195019277
2022-01-04,1.7849542279416886,20,80,54.02886544475178,1,76,98.98803489741613
2022-01-05,-3.2315921186750662,20,80,92.69627008576866,0,76,98.9793387901958
2022-01-06,6.329124046212343,20,80,143.95938543688322,1,77,98.9709384437787
2022-01-07,9.676795808964945,20,80,65.54218888908878,0,77,98.96264056916841
2022-01-08,-3.9078668028772805,20,80,122.10982706589631,1,78,98.9539146639135
2022-01-09,7.38510568694303,20,80,143.94851735385217,1,79,98.9455390226118
2022-01-10,4.788027783848301,20,80,115.6805605672376,0,79,98.93707986114677
2022-01-11,-1.2301179432243456,20,80,97.56473969780785,1,80,98.92842915119122
2022-01-12,-2.2466653552008005,20,100,138.01194853684575,1,81,98.91974344741747
2022-01-13,1.310808778559915,20,80,100.89972266218267,0,81,98.91116692601511
2022-01-14,8.897785915873996,20,80,105.02217210094773,1,82,98.90282512333383
2022-01-15,-0.1106806867047041,20,80,112.35650366255646,0,82,98.89419864248445
2022-01-16,-3.9385971667096022,20,80,60.76164469517942,1,83,98.88544895273836
2022-01-17,8.828509796257476,20,80,77.5002896313052,1,84,98.87709670489635
2022-01-18,3.006678358637121,20,80,136.54774109094748,0,84,98.86855951831379
2022-01-19,-12.240724392174407,20,100,65.74467057812186,1,85,98.859540479074
2022-01-20,9.015654445300322,20,80,81.51194263555513,1,86,98.85118583338961
2022-01-21,9.995075170834593,20,80,55.52335968858175,0,86,98.84285975474066
2022-01-22,9.676907513247428,20,80,109.41494776744148,1,87,98.83452065350568
2022-01-23,41.765893240219164,20,80,102.1471392516174,0,87,98.82613399339041
2022-01-24,3.9189463365794914,20,80,48.21465460555865,1,88,98.81760857951326
2022-01-25,-3.3124503286302085,20,80,66.26841901259985,1,89,98.80885256497848
2022-01-26,-0.5415446451964128,20,100,107.81896100262531,0,89,98.8001814412905
2022-01-27,-2.3472794238119645,20,80,89.39832675508967,1,90,98.79145032705642
2022-01-28,-0.05725310374726433,20,100,102.30320245842447,1,91,98.78278816518696
2022-01-29,0.2351649486948677,20,80,148.89157093258333,0,91,98.77413293331736
2022-01-30,0.8441692569729593,20,80,54.18032026909992,1,92,98.76549375550968
2022-01-31,3.1710235403728486,20,80,104.4924041949196,1,93,98.75692479759263
2022-02-01,-3.214254319348764,20,80,45.283251755175314,0,93,98.74815224641613
2022-02-02,-4.850885309523779,20,100,45.29199610966131,1,94,98.73932489353311
2022-02-03,5.6509703035714285,20,80,81.784460088852,1,95,98.73082572474115
2022-02-04,6.624709739741213,20,80,67.61590822323446,0,95,98.72235505501192
2022-02-05,3.6828403384938824,20,100,139.2457568159243,1,96,98.713788432006
2022-02-06,2.67633864371997,20,80,145.4090420020072,1,97,98.70518691785928
2022-02-07,4.974461445706094,20,80,124.44373804703928,0,97,98.69665575045083
2022-02-08,-4.882776934531455,20,80,131.15967670648024,1,98,98.68780995544817
2022-02-09,5.700111682438834,20,80,131.8314678748629,0,98,98.67929640130002
2022-02-10,-3.430512678378743,20,80,67.12988063105257,1,99,98.67049101192622
2022-02-11,1.023279770612806,20,80,102.79213968565628,1,100,98.66182334178703
2022-02-12,1.9861940087969838,20,80,62.93605590644003,0,100,98.65318386851533
2022-02-13,1.0529176780339355,20,80,122.48527941081835,1,101,98.64451172920164
2022-02-14,-1.1193810860556348,20,80,50.22092772313739,0,101,98.63576853064338
2022-02-15,7.356656903795955,20,80,106.77201033783933,1,102,98.62729066084073
2022-02-16,5.205167927426826,20,80,114.62342066037242,1,103,98.61874155417412
2022-02-17,7.838771615202733,20,80,102.38487451100625,0,103,98.61027368119477
2022-02-18,-4.904823171684659,20,80,85.47213815253231,1,104,98.60139868789342
2022-02-19,-2.808632687651315,20,80,77.96473335804004,0,104,98.59258785178068
2022-02-20,-4.913353516467494,20,80,59.53444846213875,1,105,98.58370705998581
2022-02-21,4.601225559639541,20,80,125.03187781274322,1,106,98.57512504159783
2022-02-22,2.132307039144851,20,100,146.83533606967822,0,106,98.56646239722045
2022-02-23,-4.893542442838266,20,80,96.22885868184339,1,107,98.55757350106158
2022-02-24,4.590294577222544,20,80,67.68261249303791,1,108,98.54898269762562
2022-02-25,-4.69980645473871,20,80,64.13903475998566,0,108,98.54009442782814
2022-02-26,2.93914311391556,20,80,137.97524986343387,1,109,98.53144579192798
2022-02-27,4.555239597242101,20,80,72.72309396434731,0,109,98.52284628361075
2022-02-28,2.5814752546386206,20,80,148.24143941612942,1,110,98.5141808936494
2022-03-01,11.447412656109083,20,80,134.42836089918043,1,111,98.50579450179198
2022-03-02,7.416020704786777,20,80,101.69457479992285,0,111,98.49727760503791
2022-03-03,11.265196406876122,20,80,49.81493485678244,1,112,98.48888020102807
2022-03-04,-12.605845031172802,20,80,76.1282014768282,0,112,98.47972034474704
2022-03-05,16.866910889850963,20,80,149.0994101931591,1,113,98.47149619715881
2022-03-06,16.859853817005682,20,80,68.71357982985928,1,114,98.46326886559675
2022-03-07,8.19957860446155,20,80,95.6271925943682,0,114,98.45476329959394
2022-03-08,10.751821127866746,20,80,125.0222063693235,1,115,98.44633606897764
2022-03-09,8.437134096460134,20,80,102.57487261096576,0,115,98.4378328037485
2022-03-10,19.001436940389684,20,80,51.26223726382469,1,116,98.42966360035797
2022-03-11,10.481418288335098,20,80,104.01084961798045,1,117,98.4212194795539
2022-03-12,6.392699953442033,20,80,95.54491084272883,0,117,98.41264260266934
2022-03-13,12.572011935742694,20,80,138.04689607644892,1,118,98.40426002621071
2022-03-14,11.622982972904696,20,80,52.11671180928708,0,118,98.39584494521472
2022-03-15,-16.649955955875615,20,80,56.718810988309464,1,119,98.3865231773049
2022-03-16,17.87764567028026,20,80,142.43932321064915,1,120,98.3783020359076
2022-03-17,-14.175868045846324,20,80,72.71260252516855,0,120,98.36905362121838
2022-03-18,7.522184376737313,20,80,56.079209018300496,1,121,98.36049608269508
2022-03-19,16.698360632696957,20,80,46.0139201023141,0,121,98.35222997300603
2022-03-20,19.03763412571108,20,80,116.36980481431169,1,122,98.34403578541101
2022-03-21,8.391765169804696,20,80,121.05742650364989,1,123,98.33549772746959
2022-03-22,6.773203120976825,20,80,145.16747166777932,0,123,98.32690560378781
2022-03-23,5.233233612924687,20,80,143.92385576914103,1,124,98.31826105177774
2022-03-24,15.39943052733987,20,80,123.77000983894406,0,124,98.3099401107129
2022-03-25,15.782168747356735,20,80,46.95048123574037,1,125,98.30162845962292
2022-03-26,16.684046091007772,20,80,79.9137203815861,1,126,98.29334275869897
2022-03-27,17.045658082129982,20,80,117.26964311114592,0,126,98.28506650989615
2022-03-28,11.761490264312938,20,80,148.2527048613455,1,127,98.27661769784753
2022-03-29,-18.999307653780424,20,80,61.923186433698206,0,127,98.26717915076007
2022-03-30,17.93413815075108,20,80,128.51250170276325,1,128,98.25892335932804
2022-03-31,19.834814878579905,20,80,53.29638089626519,1,129,98.25072567560491
2022-04-01,12.098354655371438,20,80,146.1388833324732,0,129,98.24227725416196
2022-04-02,11.748377831948972,20,80,88.14154984144673,1,130,98.23381455907817
2022-04-03,-14.691746380836022,20,80,108.02583073597872,0,130,98.22449948684522
2022-04-04,17.766221090205963,20,80,87.30002234421822,1,131,98.21622514590976
2022-04-05,15.665037154019826,20,80,101.93852994921991,1,132,98.2078802339288
2022-04-06,19.542939335512727,20,80,115.88314807827153,0,132,98.19965797819356
2022-04-07,18.08213385903894,20,80,124.63269078901293,1,133,98.19138574842404
2022-04-08,18.54423701506527,20,100,103.2960661770805,1,134,98.1831254464331
2022-04-09,9.875559216240562,20,80,149.57026939881504,0,134,98.17458372269446
2022-04-10,9.40403798124624,20,80,141.9705257497572,1,135,98.16602375075577
2022-04-11,16.43036195664679,20,80,66.13395264480015,0,135,98.15768807839987
2022-04-12,18.30265343297649,20,80,130.77174611740315,1,136,98.14940980924051
2022-04-13,-14.340472924739068,20,80,84.52738404717135,1,137,98.14007549596685
2022-04-14,17.326815087871243,20,80,120.22326994183054,0,137,98.13176064328091
2022-04-15,16.32691066663918,20,80,88.88751150853139,1,138,98.12341054584112
2022-04-16,6.078323883520117,20,80,95.12967190400053,0,138,98.1147273780473
2022-04-17,10.696993614398064,20,80,107.03713082455904,1,139,98.10619029738503
2022-04-18,14.820189004550999,20,80,104.35889734234294,1,140,98.09778340012193
2022-04-19,13.371884593352323,20,80,99.46102097234736,0,140,98.08932752495599
2022-04-20,11.490703562109442,20,80,74.89431077311667,1,141,98.08080781335059
2022-04-21,8.638043761514254,20,80,145.9476241408559,0,141,98.07219365017163
2022-04-22,19.87177146743592,20,80,144.18470048096137,1,142,98.06393984614996
2022-04-23,13.301815612103901,20,80,48.72359070319922,1,143,98.05547047712182
2022-04-24,-16.67177867529079,20,80,111.47708791794383,0,143,98.04602863756332
2022-04-25,8.809151964943371,20,80,76.53658626236543,1,144,98.03740858385301
2022-04-26,14.732095674412092,20,80,70.47554426651595,0,144,98.02897816273565
2022-04-27,7.80939099627813,20,80,130.61012354331723,1,145,98.02032042496168
2022-04-28,12.876478719431226,20,80,87.27802769292899,1,146,98.01182385217147
2022-04-29,13.824472192507578,20,80,105.51200796165892,0,146,98.00335583001764
2022-04-30,6.958880446257515,20,80,72.32347286271525,1,147,97.99466211465534
