Date,Temperature,Charge_Start,Charge_End,Daily_Mileage,Daily_Cycles,Total_Cycles,SOH
2021-09-03,18.569975227198533,5,95,63.54499173870489,0,0,99.99333281935591
2021-09-04,14.261207641643436,5,95,44.0721470016632,1,1,99.98655107533058
2021-09-05,8.06812525470958,5,95,97.90220536272007,1,2,99.97960565491582
2021-09-06,2.5347656118607063,5,95,70.33141108131494,1,3,99.9725136093014
2021-09-07,21.867659792509578,5,95,80.89885035354499,1,4,99.96592232045674
2021-09-08,19.840135147395312,5,95,68.51010456681485,1,5,99.9592757544628
2021-09-09,1.8551345737778502,5,95,77.1786093331792,1,6,99.95215804576061
2021-09-10,1.5657779180420495,5,95,62.890302796591065,1,7,99.9450301356853
2021-09-11,9.304113034566361,5,95,58.88852103209325,1,8,99.93810136301104
2021-09-12,11.770540682545969,5,95,34.90150927045723,1,9,99.93123434677901
2021-09-13,23.470016461278533,5,95,95.9050380872549,0,9,99.9246707480756
2021-09-14,23.7728096578266,5,95,95.77621586519977,1,10,99.91811260433553
2021-09-15,11.144779521892264,5,95,48.514867519956766,1,11,99.9112222433345
2021-09-16,1.923298218093597,5,95,98.05569802068263,1,12,99.90408841109917
2021-09-17,18.877784851846577,5,95,94.28972808383234,1,13,99.89739500131873
2021-09-18,22.780529299793713,5,95,62.94588933717724,1,14,99.89080112708483
2021-09-19,19.43521625249526,5,95,68.91200850679607,1,15,99.88411730460618
2021-09-20,14.374537824775736,5,95,71.88799915725922,1,16,99.87729858940091
2021-09-21,0.5790719616820178,5,95,67.57117460892505,1,17,99.87011627002481
2021-09-22,7.461314420681981,5,95,60.91735199436996,1,18,99.86311146886705
2021-09-23,17.83467704571454,5,95,70.87517113603414,0,18,99.85637643193458
2021-09-24,3.6241557166039886,5,95,64.55318941120754,1,19,99.84926658203396
2021-09-25,12.320715175599403,5,95,74.77919011311793,1,20,99.84238201389311
2021-09-26,18.29540298389029,5,95,45.887525595829246,1,21,99.83565153262336
2021-09-27,3.5669498430808604,5,95,67.70188553844613,1,22,99.82853224136345
2021-09-28,10.468224451026428,5,95,50.07395749401131,1,23,99.82159137945129
2021-09-29,17.169832021675848,5,95,70.49158557836519,1,24,99.81482384031776
2021-09-30,10.463881471491318,5,95,78.60613794670647,1,25,99.807877701288
2021-10-01,15.774917411069492,5,95,77.8374657169856,1,26,99.801068488122
2021-10-02,19.754723343456057,5,95,65.13537610334444,1,27,99.79436132296614
2021-10-03,12.281831321820968,5,95,32.52292318327929,0,27,99.78745591366753
2021-10-04,9.731036987059474,5,95,62.21322974105624,1,28,99.78048086783137
2021-10-05,12.818380217973429,5,95,66.89796199027279,1,29,99.77358444086688
2021-10-06,24.21379513582301,5,95,82.05554141545953,1,30,99.76698530942535
2021-10-07,11.437711603872527,5,95,61.2934021295116,1,31,99.7600474163055
2021-10-08,16.382847863291353,5,95,50.66640956268566,1,32,99.753237169923
2021-10-09,10.142316682417803,5,95,53.37067699263776,1,33,99.74626000156367
2021-10-10,21.172437215704424,5,95,72.5069929446442,1,34,99.73957091990772
2021-10-11,23.352206383335147,5,95,89.43508463953799,1,35,99.73293682164825
2021-10-12,14.301710869375636,5,95,84.84172917166973,1,36,99.72606157991669
2021-10-13,15.990033426247837,5,95,86.27192464076208,0,36,99.71922901167247
2021-10-14,17.51389437962786,5,95,52.10100565137425,1,37,99.71243412447112
2021-10-15,8.080856667603511,5,95,49.885122556618605,1,38,99.70538769532155
2021-10-16,23.176363787585803,5,95,87.60656649218461,1,39,99.69873731111628
2021-10-17,23.331408883509905,5,95,95.1263627925583,1,40,99.69208855955522
2021-10-18,12.770917160836499,5,95,77.97222987732982,1,41,99.68515824815381
2021-10-19,9.919009374290516,5,95,34.67114354601767,1,42,99.6781499713288
2021-10-20,22.246598482900698,5,95,84.47308877212011,1,43,99.67146514073724
2021-10-21,12.639787954702314,5,95,71.28997765997056,1,44,99.66452366088237
2021-10-22,23.03656836003968,5,95,79.9895895749319,1,45,99.65785479059076
2021-10-23,15.067083334133835,5,95,65.68175562471812,0,45,99.65097312715436
2021-10-24,18.11120769796439,5,95,85.60762512508944,1,46,99.64416954083099
2021-10-25,10.419737597803916,5,95,55.66986062567304,1,47,99.63715965825564
2021-10-26,16.376390317827294,5,95,92.67670657341074,1,48,99.6303050602393
2021-10-27,23.115823172247644,5,95,34.58272920139678,1,49,99.62362661769446
2021-10-28,24.630604860711543,5,95,70.70537763299012,1,50,99.61698588502242
2021-10-29,20.40535179995416,5,95,76.70257257109218,1,51,99.61023058811728
2021-10-30,20.778076726965345,5,95,54.78054691578564,1,52,99.60348268949278
2021-10-31,1.117961007824514,5,95,78.4596999935236,1,53,99.59621026126288
2021-11-01,15.310290841131922,5,95,66.02513075230524,1,54,99.58931213820341
2021-11-02,7.32903271826196,5,95,39.920143365696504,0,54,99.58220009244228
2021-11-03,10.969163882375128,5,95,59.94883918552516,1,55,99.57518217647254
2021-11-04,6.6127042269648495,5,95,45.05072372283118,1,56,99.56804583422051
2021-11-05,3.2381331409075815,5,95,40.297667896809514,1,57,99.56081709762289
2021-11-06,16.707568702861412,5,95,33.412966637761926,1,58,99.55394410790022
2021-11-07,1.9020583437255407,5,95,73.71264540089561,1,59,99.54667447406113
2021-11-08,12.252570162871034,5,95,84.21508713919705,1,60,99.53967778383779
2021-11-09,23.569681397829193,5,95,33.25187021105989,1,61,99.53297998901688
2021-11-10,14.048004677112752,5,95,60.97014720815695,1,62,99.52602598713462
2021-11-11,6.007284465815327,5,95,87.48156896652779,1,63,99.51885507082773
2021-11-12,7.260391177580086,5,95,39.36136462897193,0,63,99.51171564114345
2021-11-13,12.90945568672615,5,95,97.9151955772922,1,64,99.50472427359396
2021-11-14,2.7625077391281225,5,95,43.27609363402623,1,65,99.49745955883124
2021-11-15,23.579472919437137,5,95,65.45183557469805,1,66,99.49074787981536
2021-11-16,3.000095259471247,5,95,36.21227250129336,1,67,99.48348416179552
2021-11-17,10.390405512905296,5,95,72.06959161952021,1,68,99.47641520129885
2021-11-18,3.83279459257726,5,95,74.3382251422922,1,69,99.46916839187666
2021-11-19,22.48678292533136,5,95,59.72631651048407,1,70,99.46241761954481
2021-11-20,7.354582172883167,5,95,33.71383799706191,1,71,99.4552596673152
2021-11-21,6.9634355742531575,5,95,59.293947676915266,1,72,99.44808861936171
