Date,Temperature,Charge_Start,Charge_End,Daily_Mileage,Daily_Cycles,Total_Cycles,SOH
2021-09-03,13.443059532940355,60,80,68.68956326360343,0,0,99.99476886119066
2021-09-04,20.231841497054155,60,80,94.00087443226361,0,0,99.9896721020307
2021-09-05,13.047764414718849,60,80,84.00055490515369,0,0,99.98443018660956
2021-09-06,24.755342017817693,60,80,32.998560877459994,0,0,99.9794211798391
2021-09-07,44.59560723093354,60,80,92.47238014336662,1,1,99.97402281896755
2021-09-08,15.772438958719045,60,80,56.37493108181836,0,1,99.96883064645644
2021-09-09,4.964784376231049,60,100,66.76906895118562,0,1,99.96342052331565
2021-09-10,11.243891185080601,60,80,72.50989719336758,0,1,99.9581347559428
2021-09-11,9.085838940591898,60,80,69.60142425624738,1,2,99.95280375022249
2021-09-12,19.17963682376928,60,100,31.72618809102512,0,2,99.94767370135561
2021-09-13,11.693954609156185,60,80,77.80590948201589,0,2,99.94239209660955
2021-09-14,24.147239935529573,60,80,58.80480945811844,0,2,99.93735891508085
2021-09-15,10.862058143628559,60,80,55.59370650736891,1,3,99.93205719823142
2021-09-16,15.727485045927105,60,100,40.86564641146481,0,3,99.92685171802954
2021-09-17,6.238173344397382,60,80,70.07554314025145,0,3,99.92145424539466
2021-09-18,16.235016368613813,60,80,76.20573028563703,0,3,99.9162561183968
2021-09-19,19.035399822609133,60,80,61.9325643267758,1,4,99.91111232896809
2021-09-20,20.695759346098626,60,80,69.68315034983459,0,4,99.90600051163145
2021-09-21,13.2532589661116,60,80,50.392517199618624,0,4,99.90073765639347
2021-09-22,6.5228673492306575,60,80,32.58964350960953,0,4,99.89533800369904
2021-09-23,3.919225124241929,60,80,66.04045260183648,0,4,99.88988450019015
2021-09-24,21.011033887569845,60,80,61.08591793575422,1,5,99.88477294023757
2021-09-25,22.57142684554336,60,80,82.9329031488877,0,5,99.87969139952807
2021-09-26,24.457312146220687,60,80,50.0764731457307,0,5,99.87464644931364
2021-09-27,4.681847481905532,60,80,64.10269626792018,0,5,99.86920181661887
2021-09-28,22.18922711513562,60,80,91.94520968643675,0,5,99.86410842412491
2021-09-29,15.124989688918308,60,80,89.26177384073597,1,6,99.85887075991545
2021-09-30,24.261954044669935,60,80,36.26565702398563,0,6,99.85381587239077
2021-10-01,21.835499700754184,60,100,40.296957789518075,0,6,99.84871067942902
2021-10-02,1.0254909780692212,60,80,39.333457935863414,0,6,99.84318433975766
2021-10-03,19.248430705408904,60,80,93.09481304994674,1,7,99.83802365706698
2021-10-04,8.808208800548822,60,80,77.08599105266185,0,7,99.83265084676674
2021-10-05,20.29969426514919,60,80,85.08265936809141,0,7,99.82750858380628
2021-10-06,8.346660246648103,60,80,69.42217782953496,0,7,99.82212353334444
2021-10-07,2.7632599694199262,60,100,36.502123024942435,1,8,99.81662368410393
2021-10-08,15.00216925692341,60,80,43.45113790516622,0,8,99.81136966503603
2021-10-09,16.61677626562009,60,80,43.3849410148856,0,8,99.80614685690925
2021-10-10,22.881610093389433,60,80,78.02215036963067,0,8,99.80104929991205
2021-10-11,24.53539404192836,60,100,44.599457342437425,1,9,99.79598330095921
2021-10-12,16.377238413896265,60,80,34.05009786090181,0,9,99.79075087344731
2021-10-13,18.23005815585662,60,100,37.19865955011471,0,9,99.78555452375754
2021-10-14,6.807905761616925,60,80,48.63973761222734,0,9,99.78012554881424
2021-10-15,0.2714938746756851,60,80,58.77011132802306,1,10,99.77456219570597
2021-10-16,7.519794639166754,60,100,35.4439608869222,0,10,99.7691441562386
2021-10-17,11.062963359694647,60,80,90.30283956359469,0,10,99.76379643899607
2021-10-18,4.876355583251354,60,80,47.365747862889485,0,10,99.75832189119889
2021-10-19,20.906710497507863,60,80,71.28966107952917,1,11,99.75317031947462
2021-10-20,-10.882743460214975,60,80,72.81735629942798,0,11,99.74737266960106
2021-10-21,17.214538259956186,60,80,58.58877757867974,0,11,99.74214341339714
2021-10-22,10.959938484988118,60,80,54.037911167963024,0,11,99.73678583235522
2021-10-23,19.843930423321428,60,80,93.7949352200165,0,11,99.73160711486132
2021-10-24,13.803037819622954,60,80,55.67491331210336,1,12,99.7263038272724
2021-10-25,12.443046923020335,60,100,75.10254435722226,0,12,99.72097148632282
2021-10-26,23.36958947410798,60,80,85.94724473603051,0,12,99.71585967506216
2021-10-27,12.212872838254016,60,80,53.32311589328053,0,12,99.7105197761294
