Date,Temperature,Charge_Start,Charge_End,Daily_Mileage,Daily_Cycles,Total_Cycles,SOH
2021-09-03,18.467960834054477,20,80,84.96288845559596,0,0,99.99486935921668
2021-09-04,23.70851947304159,20,80,36.56080242387225,1,1,99.98984164994586
2021-09-05,7.484963673826028,20,80,60.84155043386339,0,1,99.98448788222447
2021-09-06,2.6174392148142323,20,80,81.60350781666999,1,2,99.97903466306147
2021-09-07,7.278742740235658,20,80,72.0533125854833,1,3,99.9736727619652
2021-09-08,6.331052622670919,20,80,77.94777359316504,0,3,99.96829040800266
2021-09-09,5.584544923755633,20,80,97.89292267909268,1,4,99.96289108254008
2021-09-10,9.46718579240144,20,80,66.28424650277408,0,4,99.95756811309921
2021-09-11,5.567997855950391,20,80,35.7626854509001,1,5,99.95216496211305
2021-09-12,17.47747467950905,20,80,50.618992269409546,1,6,99.94699871397552
2021-09-13,24.964053861556216,20,100,65.44766732519872,0,6,99.94198128580125
2021-09-14,18.035131724964973,20,80,64.87647974009138,1,7,99.93682289179236
2021-09-15,24.92935145860072,20,80,45.88591256779591,1,8,99.93180102153521
2021-09-16,6.760272323097938,20,80,45.600617676004376,0,8,99.92641281237259
2021-09-17,16.955570160159734,20,80,43.36869545769475,1,9,99.92122746597124
2021-09-18,21.058640137507595,20,80,41.986176680015475,0,9,99.91612317715222
2021-09-19,3.9231700625694863,20,80,61.94321446402184,1,10,99.91067242961134
2021-09-20,11.11994045153793,20,80,56.29349239370753,1,11,99.90536441541211
2021-09-21,6.419447375830892,20,80,77.6017859762093,0,11,99.89996037631163
2021-09-22,20.732073377278564,20,100,67.14942691861287,1,12,99.8948424118535
2021-09-23,1.8109750596274898,20,100,95.35120647998339,1,13,99.88934155099669
2021-09-24,4.900289089808937,20,80,53.741004018585286,0,13,99.88390141381531
2021-09-25,12.351025249567815,20,80,64.5022524020431,1,14,99.87860937402827
2021-09-26,22.34573560528532,20,80,95.76596602928372,1,15,99.87351681999105
2021-09-27,12.532734550315835,20,80,58.13148800601323,0,15,99.8682250326466
2021-09-28,5.4760513192196605,20,80,64.93497879693565,1,16,99.86278894874403
2021-09-29,20.70508922110688,20,80,42.20239509860304,0,16,99.85765862680994
2021-09-30,17.719758116089317,20,80,68.37471371900756,1,17,99.85246614635804
2021-10-01,13.126269675487903,20,80,74.089328120235,1,18,99.84717899408967
2021-10-02,14.153825136776819,20,80,71.53788591526221,0,18,99.84191115599181
2021-10-03,23.354429692464496,20,80,51.630532159513436,1,19,99.83682723706272
2021-10-04,18.29420715680215,20,80,41.10915274801194,0,19,99.83163967871697
2021-10-05,12.576055743118037,20,80,55.2854658862175,1,20,99.82633459678448
2021-10-06,0.19927185666895053,20,80,67.89713274195822,1,21,99.82077724624736
2021-10-07,23.513016267922808,20,80,75.83785966601621,0,21,99.81568999335985
2021-10-08,23.300330164998353,20,80,91.98816054781008,1,22,99.81059654781156
2021-10-09,2.1412208254917937,20,80,72.05921799619921,0,22,99.80507342383102
2021-10-10,20.06119017717794,20,80,90.5215408780924,1,23,99.79991111534653
2021-10-11,17.89155392381721,20,80,40.88127674928502,1,24,99.7947029418265
2021-10-12,8.165214992853166,20,80,55.31292249169742,0,24,99.7892962789753
2021-10-13,10.289221895836542,20,100,71.15782992518928,1,25,99.78393066402663
2021-10-14,11.88495130670702,20,80,87.13524810726432,1,26,99.77859541660415
2021-10-15,9.831125772163224,20,80,59.80723179395022,0,26,99.77321706650713
2021-10-16,21.411145911494632,20,100,62.961257557815266,1,27,99.76807168460043
2021-10-17,24.79671978807817,20,80,41.43098264320162,1,28,99.76299311572552
2021-10-18,6.7716003596082155,20,80,91.81110699358143,0,28,99.75754720324501
2021-10-19,15.000143400637775,20,80,87.01796518362761,1,29,99.7522664018617
2021-10-20,18.7703257184872,20,80,87.71684105828595,0,29,99.74706076777389
2021-10-21,-10.41251359609569,20,80,41.46348501362,1,30,99.74126010014811
2021-10-22,14.716772151551242,20,80,61.19895489274569,1,31,99.73596819712589
2021-10-23,44.078405198841764,20,80,71.70827284393695,0,31,99.73049599751742
2021-10-24,12.676333217280666,20,100,31.18248050673772,1,32,99.72515919399736
2021-10-25,3.223728816466029,20,80,99.85176134593819,1,33,99.71962803817316
2021-10-26,17.583909193047553,20,80,33.785054236547545,0,33,99.71438772374496
2021-10-27,13.506049104519018,20,80,81.15219067363894,1,34,99.70906242651571
2021-10-28,0.3999143008939804,20,80,32.176075262218504,0,34,99.70346871443465
2021-10-29,6.672428674027933,20,80,65.12744176346449,1,35,99.6980007557702
2021-10-30,12.562933891488598,20,100,86.74498085147683,1,36,99.69265085725404
2021-10-31,20.247164967133514,20,80,66.00347110198246,0,36,99.68745620433927
